Exp,AOI,Imp,Zero_Prop,Model,CRPS,RMSE,MAE
S8,GazeGL,Agr,0.05181347150259067,Bayes_HB,0.0033130560818088687,0.006988583761916065,0.005038765543745837
S8,GazeGL,Agr,0.05181347150259067,Bayes_Beta,0.003394853497873121,0.007010591218398274,0.005248389299407351
S8,GazeGL,Agr,0.05181347150259067,Logit_LMM,0.0033977718095005442,0.006952451653991504,0.005240678239778889
S8,GazeGL,Agr,0.05181347150259067,Freq_HB,0.003618867446711497,0.00751197458946844,0.005462360931534337
S8,GazeGL,Neu,0.02461139896373057,Bayes_HB,0.0035473559164447494,0.0071855286580102835,0.005284058640533289
S8,GazeGL,Neu,0.02461139896373057,Bayes_Beta,0.0035927847132131148,0.0071871962688270265,0.005451578468598725
S8,GazeGL,Neu,0.02461139896373057,Logit_LMM,0.0036164078985192476,0.007176473036309888,0.005512685177047912
S8,GazeGL,Neu,0.02461139896373057,Freq_HB,0.0038876643498889315,0.007828521272519208,0.0057686373882775005
S8,GazeGL,Ext,0.029411764705882353,Bayes_HB,0.0033066480305342545,0.006635111222554989,0.004994764542586334
S8,GazeGL,Ext,0.029411764705882353,Bayes_Beta,0.003371606093487868,0.00664561255884618,0.005196215688942183
S8,GazeGL,Ext,0.029411764705882353,Logit_LMM,0.0033980542033853,0.006626688287159463,0.005247454442027095
S8,GazeGL,Ext,0.029411764705882353,Freq_HB,0.003626706041488803,0.007185645388580633,0.005473112036133341
S8,GazeGL,Ope,0.028423772609819122,Bayes_HB,0.0030440779827361026,0.006349850144841247,0.004469061465222592
S8,GazeGL,Ope,0.028423772609819122,Bayes_Beta,0.003108169086423124,0.006360286471289643,0.004682654718063498
S8,GazeGL,Ope,0.028423772609819122,Logit_LMM,0.0031323847159133887,0.00636187276993964,0.0047649285975923505
S8,GazeGL,Ope,0.028423772609819122,Freq_HB,0.0034366536740671957,0.0070051255961941835,0.005074646829366436
S8,GazeGL,Con,0.02564102564102564,Bayes_HB,0.003682828411620247,0.007646766315956735,0.0054722709763144715
S8,GazeGL,Con,0.02564102564102564,Bayes_Beta,0.0037401389320303067,0.007660935146231169,0.0056763873517328145
S8,GazeGL,Con,0.02564102564102564,Logit_LMM,0.0037744718788789273,0.007639392063963787,0.005715462045683353
S8,GazeGL,Con,0.02564102564102564,Freq_HB,0.004179180106838371,0.008440888823903148,0.006222161606363361
S8,GazeFH,Agr,0.015544041450777202,Bayes_HB,0.0010591227770330837,0.002099931693686652,0.0015081402644609532
S8,GazeFH,Agr,0.015544041450777202,Bayes_Beta,0.0011675440452076384,0.002260829243086841,0.001765741757381108
S8,GazeFH,Agr,0.015544041450777202,Logit_LMM,0.0012312937947873948,0.002351816179593394,0.0018792067445794049
S8,GazeFH,Agr,0.015544041450777202,Freq_HB,0.0011918942072819921,0.0023300830544350725,0.001671804421040381
S8,GazeFH,Neu,0.011658031088082901,Bayes_HB,9.185423688675764e-4,0.001790532390091145,0.0012933706890259163
S8,GazeFH,Neu,0.011658031088082901,Bayes_Beta,0.0010206731599941806,0.001962246619415153,0.0015454796620991622
S8,GazeFH,Neu,0.011658031088082901,Logit_LMM,0.0011001041110453534,0.0020648218776649343,0.0016649592040454341
S8,GazeFH,Neu,0.011658031088082901,Freq_HB,0.0010667823001397768,0.0020527098757400983,0.001495341207459218
S8,GazeFH,Ext,0.026854219948849106,Bayes_HB,8.67238579396808e-4,0.0016097772027162368,0.0012294712180782685
S8,GazeFH,Ext,0.026854219948849106,Bayes_Beta,9.561530626868119e-4,0.001781296966768625,0.0014484817554516935
S8,GazeFH,Ext,0.026854219948849106,Logit_LMM,0.0010372522523741585,0.0019067799725018021,0.0015771643980424784
S8,GazeFH,Ext,0.026854219948849106,Freq_HB,9.862798094078511e-4,0.0018246374227449905,0.0013964029158226188
S8,GazeFH,Ope,0.021963824289405683,Bayes_HB,0.0010076129639598028,0.0018612553919193676,0.0014395420806578955
S8,GazeFH,Ope,0.021963824289405683,Bayes_Beta,0.0010871068734783316,0.0020143780363651035,0.0016369856428091669
S8,GazeFH,Ope,0.021963824289405683,Logit_LMM,0.001160234639010122,0.002134232180502893,0.0017705962437455543
S8,GazeFH,Ope,0.021963824289405683,Freq_HB,0.0011367427666318225,0.00208845473263495,0.0016006236854146376
S8,GazeFH,Con,0.015384615384615385,Bayes_HB,9.586691853625311e-4,0.001805829628225681,0.0013744942282849122
S8,GazeFH,Con,0.015384615384615385,Bayes_Beta,0.0010499847387659771,0.0019674282172726814,0.0016042848496065686
S8,GazeFH,Con,0.015384615384615385,Logit_LMM,0.0011311372882923383,0.0020837259776624426,0.0017256494325339105
S8,GazeFH,Con,0.015384615384615385,Freq_HB,0.00112259369486467,0.0021263818319200174,0.0015888431279881979
S8,GazeEB,Agr,0.011658031088082901,Bayes_HB,0.0020355264597452538,0.00439246049278198,0.0030016240620235404
S8,GazeEB,Agr,0.011658031088082901,Bayes_Beta,0.0021375958819028367,0.0044530409435971936,0.0032399112028456715
S8,GazeEB,Agr,0.011658031088082901,Logit_LMM,0.0021623695555527196,0.004465282576013229,0.0032830320537420663
S8,GazeEB,Agr,0.011658031088082901,Freq_HB,0.002440584050698491,0.005066881483416296,0.003599318856894897
S8,GazeEB,Neu,0.009067357512953367,Bayes_HB,0.001792529623535327,0.0037347433620488627,0.0026294973542049134
S8,GazeEB,Neu,0.009067357512953367,Bayes_Beta,0.001878907372121317,0.00378759288549894,0.00287591626287103
S8,GazeEB,Neu,0.009067357512953367,Logit_LMM,0.001951546185635539,0.003927591552890469,0.003010592224916055
S8,GazeEB,Neu,0.009067357512953367,Freq_HB,0.00226583512886366,0.004641286698928381,0.003328585823881429
S8,GazeEB,Ext,0.01278772378516624,Bayes_HB,0.0017101231454809142,0.0037734618047749876,0.002503734565728601
S8,GazeEB,Ext,0.01278772378516624,Bayes_Beta,0.0018085611789537884,0.003806982036440847,0.0027558480249543125
S8,GazeEB,Ext,0.01278772378516624,Logit_LMM,0.0018680173833951162,0.003878476094748076,0.0028497395394665383
S8,GazeEB,Ext,0.01278772378516624,Freq_HB,0.00210932099258203,0.00446284138501797,0.0031066377116867414
S8,GazeEB,Ope,0.014211886304909561,Bayes_HB,0.001358214022806261,0.0028552997785235104,0.0019938429725386074
S8,GazeEB,Ope,0.014211886304909561,Bayes_Beta,0.001456766185972594,0.0029180359950930967,0.0022371318358930187
S8,GazeEB,Ope,0.014211886304909561,Logit_LMM,0.0015296648690915331,0.003007927499672449,0.0023457172992760594
S8,GazeEB,Ope,0.014211886304909561,Freq_HB,0.0017149531117444266,0.0035162085025674285,0.002494262943685843
S8,GazeEB,Con,0.011538461538461539,Bayes_HB,0.0020538631600602064,0.0044589596755109555,0.0030149208126297664
S8,GazeEB,Con,0.011538461538461539,Bayes_Beta,0.002148062979390433,0.004531538452485542,0.0032478642318548943
S8,GazeEB,Con,0.011538461538461539,Logit_LMM,0.002213011300541502,0.00464075831387625,0.003385981699095867
S8,GazeEB,Con,0.011538461538461539,Freq_HB,0.0025609159053175167,0.005366073412738516,0.003709107946114288
S8,GazeEY,Agr,0.015544041450777202,Bayes_HB,0.002847225211853167,0.005640740098359324,0.004152385020249799
S8,GazeEY,Agr,0.015544041450777202,Bayes_Beta,0.0028800416773066234,0.005645518801327787,0.004298129520841444
S8,GazeEY,Agr,0.015544041450777202,Logit_LMM,0.0029089726631184787,0.005683689022892846,0.004383049351883877
S8,GazeEY,Agr,0.015544041450777202,Freq_HB,0.003225250457693428,0.006279445762032418,0.004621373762253294
S8,GazeEY,Neu,0.015544041450777202,Bayes_HB,0.0028630416869373835,0.005510795247528387,0.00413673148604784
S8,GazeEY,Neu,0.015544041450777202,Bayes_Beta,0.0028962008649946053,0.005532714928705917,0.004291587825780957
S8,GazeEY,Neu,0.015544041450777202,Logit_LMM,0.0029736029411747333,0.00563963018534404,0.004461931635843908
S8,GazeEY,Neu,0.015544041450777202,Freq_HB,0.003476021990607645,0.006575689093462859,0.004994351743197292
S8,GazeEY,Ext,0.016624040920716114,Bayes_HB,0.002453333109346549,0.004881414105115676,0.0035885007077601627
S8,GazeEY,Ext,0.016624040920716114,Bayes_Beta,0.002522173198290843,0.004935509662792169,0.0037800788346748055
S8,GazeEY,Ext,0.016624040920716114,Logit_LMM,0.0025582282718742346,0.004973669941453303,0.0038826825627844203
S8,GazeEY,Ext,0.016624040920716114,Freq_HB,0.002882807410750104,0.0056516655537897,0.004117828252103919
S8,GazeEY,Ope,0.011627906976744186,Bayes_HB,0.0024348009701689473,0.004774634890398536,0.003533734296495242
S8,GazeEY,Ope,0.011627906976744186,Bayes_Beta,0.0024887927624637103,0.004821650085720829,0.003720968781560887
S8,GazeEY,Ope,0.011627906976744186,Logit_LMM,0.0025262975002631996,0.0048773931666842765,0.003832464098280354
S8,GazeEY,Ope,0.011627906976744186,Freq_HB,0.0028250590068879676,0.00548168029566392,0.004108765256403691
S8,GazeEY,Con,0.02435897435897436,Bayes_HB,0.0027465836447952627,0.0053517772387625525,0.003983730145090717
S8,GazeEY,Con,0.02435897435897436,Bayes_Beta,0.0028068502469910635,0.005388504900239689,0.0041905682419203245
S8,GazeEY,Con,0.02435897435897436,Logit_LMM,0.0029085892159852003,0.00554814646709118,0.004374574423287936
S8,GazeEY,Con,0.02435897435897436,Freq_HB,0.003465644046484025,0.006656790994485672,0.005019545017748754
S8,GazeNO,Agr,0.04015544041450777,Bayes_HB,0.0011659995441953433,0.0024240722203002544,0.0017183576070521518
S8,GazeNO,Agr,0.04015544041450777,Bayes_Beta,0.0012618296168081023,0.002498682580027873,0.001956127173419359
S8,GazeNO,Agr,0.04015544041450777,Logit_LMM,0.0013669485774717898,0.00260632684857868,0.0020786256537447152
S8,GazeNO,Agr,0.04015544041450777,Freq_HB,0.0014559882170505991,0.0029251832109481145,0.0021072543663976906
S8,GazeNO,Neu,0.08678756476683938,Bayes_HB,0.001059180396431581,0.0022150858450979416,0.0016063683893283334
S8,GazeNO,Neu,0.08678756476683938,Bayes_Beta,0.0011943523776565437,0.0023304300786275017,0.0018657540510158119
S8,GazeNO,Neu,0.08678756476683938,Logit_LMM,0.0013091343377060177,0.0024192976228737655,0.0019779165100256815
S8,GazeNO,Neu,0.08678756476683938,Freq_HB,0.0012788592833775385,0.002653928313641554,0.0019020700991126123
S8,GazeNO,Ext,0.08312020460358056,Bayes_HB,0.0010798901149211713,0.002189093590369582,0.0016281582798366872
S8,GazeNO,Ext,0.08312020460358056,Bayes_Beta,0.001195190728530686,0.002287847657413533,0.0018809766143053103
S8,GazeNO,Ext,0.08312020460358056,Logit_LMM,0.0013207547667814015,0.0024087235275241847,0.0020099022511794185
S8,GazeNO,Ext,0.08312020460358056,Freq_HB,0.001358653554048305,0.0026946577941834443,0.0020261877831117283
S8,GazeNO,Ope,0.07622739018087855,Bayes_HB,0.00102896633584358,0.0020615136575213213,0.0015181653994804927
S8,GazeNO,Ope,0.07622739018087855,Bayes_Beta,0.001132580005196754,0.0021797038772443686,0.0017578946537880002
S8,GazeNO,Ope,0.07622739018087855,Logit_LMM,0.0012673203476694854,0.0023310708157938927,0.001911004170886906
S8,GazeNO,Ope,0.07622739018087855,Freq_HB,0.0013991696532951615,0.002806967620280124,0.002033556976465046
S8,GazeNO,Con,0.08974358974358974,Bayes_HB,0.0010122837476083987,0.0021152539098719704,0.0015338110557219695
S8,GazeNO,Con,0.08974358974358974,Bayes_Beta,0.0011550271739379071,0.0022534299893040045,0.001821228784013772
S8,GazeNO,Con,0.08974358974358974,Logit_LMM,0.001278816017015797,0.002359576759238936,0.0019437528659876804
S8,GazeNO,Con,0.08974358974358974,Freq_HB,0.001250343463374099,0.002600685890105672,0.0018359064086271957
S8,GazeMO,Agr,0.7603626943005182,Bayes_HB,2.5649341248221163e-4,9.055317507090329e-4,4.783729273869136e-4
S8,GazeMO,Agr,0.7603626943005182,Bayes_Beta,6.980413892061845e-4,0.0012693872692843599,0.0011432238220147068
S8,GazeMO,Agr,0.7603626943005182,Logit_LMM,9.606865996696252e-4,0.0013219936429799421,0.0012139715569699915
S8,GazeMO,Agr,0.7603626943005182,Freq_HB,3.055461655476316e-4,0.0010086567014042293,5.569731563088341e-4
S8,GazeMO,Neu,0.7875647668393783,Bayes_HB,2.3414204182067188e-4,9.659588496777234e-4,4.2844921509313223e-4
S8,GazeMO,Neu,0.7875647668393783,Bayes_Beta,6.962912939424926e-4,0.0013347391918432099,0.001146512661848621
S8,GazeMO,Neu,0.7875647668393783,Logit_LMM,9.77719881509514e-4,0.0013715476195369754,0.0012165712242553813
S8,GazeMO,Neu,0.7875647668393783,Freq_HB,3.101254848365358e-4,0.001161388022793886,7.051821138991259e-4
S8,GazeMO,Ext,0.7046035805626598,Bayes_HB,3.284075441796382e-4,0.0010787338018749652,5.69397594710986e-4
S8,GazeMO,Ext,0.7046035805626598,Bayes_Beta,7.366687942012023e-4,0.0013838459861629585,0.0012059859762406319
S8,GazeMO,Ext,0.7046035805626598,Logit_LMM,9.845967411596505e-4,0.0014376645247267388,0.0012830005980158997
S8,GazeMO,Ext,0.7046035805626598,Freq_HB,4.1425981237679853e-4,0.0012309867567316887,8.065302528137487e-4
S8,GazeMO,Ope,0.7080103359173127,Bayes_HB,2.726445599908812e-4,8.591629274915397e-4,4.900746488812799e-4
S8,GazeMO,Ope,0.7080103359173127,Bayes_Beta,6.758755105937225e-4,0.0012133813270021753,0.0011103513426790762
S8,GazeMO,Ope,0.7080103359173127,Logit_LMM,9.310113960467372e-4,0.001283527822892742,0.0011856467598193824
S8,GazeMO,Ope,0.7080103359173127,Freq_HB,3.408562316387046e-4,0.0010012582566596854,7.473793811240156e-4
S8,GazeMO,Con,0.7897435897435897,Bayes_HB,2.544617405552101e-4,0.0010500595463693598,4.6616740178113595e-4
S8,GazeMO,Con,0.7897435897435897,Bayes_Beta,7.047454682836949e-4,0.0013731906581912236,0.0011528175463607789
S8,GazeMO,Con,0.7897435897435897,Logit_LMM,9.809035895843583e-4,0.0014110544617937626,0.0012237981264449057
S8,GazeMO,Con,0.7897435897435897,Freq_HB,3.196505889129647e-4,0.0011987065527839077,6.928172410854673e-4
